0,14,4,13
4,13,4,13
4,13,3,15
3,15,7,9
7,9,0,5
0,5,15,17
15,17,10,12
7,14,5,7
5,7,4,15
4,15,3,12
3,12,3,12
3,12,9,11
9,11,2,11
2,11,8,10
7,7,1,13
1,13,1,6
1,6,5,14
5,14,2,14
2,14,4,6
4,6,4,11
4,11,1,6
14,14,0,11
0,11,2,4
2,4,3,8
3,8,5,10
5,10,0,5
0,5,0,5
0,5,4,15
7,14,2,7
2,7,9,11
9,11,12,17
12,17,2,14
2,14,11,16
11,16,7,12
7,12,9,14
7,14,1,6
1,6,0,5
0,5,8,17
8,17,2,4
2,4,5,10
5,10,5,12
5,12,0,12
0,7,0,5
0,5,2,4
2,4,3,14
3,14,4,6
4,6,5,16
5,16,7,12
7,12,8,10
14,14,5,17
5,17,6,8
6,8,4,8
4,8,5,16
5,16,2,4
2,4,0,4
0,4,10,15
14,14,6,8
6,8,5,17
5,17,3,8
3,8,5,14
5,14,0,11
0,11,1,6
1,6,2,11
14,7,3,7
3,7,0,5
0,5,7,9
7,9,2,7
2,7,4,9
4,9,5,17
5,17,6,11
0,14,1,13
1,13,0,11
0,11,0,12
0,12,3,12
3,12,2,4
2,4,11,16
11,16,3,8
0,14,4,9
4,9,3,12
3,12,5,7
5,7,5,10
5,10,6,15
6,15,3,5
3,5,0,5
0,7,15,17
15,17,5,14
5,14,2,4
2,4,8,13
8,13,1,12
1,12,2,4
2,4,4,15
7,7,5,10
5,10,12,14
12,14,2,4
2,4,4,15
4,15,5,10
5,10,5,17
5,17,0,5
7,14,8,17
8,17,2,7
2,7,1,12
1,12,8,13
8,13,2,4
2,4,2,14
2,14,12,14
0,14,3,5
3,5,6,8
6,8,2,4
2,4,7,9
7,9,4,6
4,6,2,11
2,11,8,13
14,14,6,11
6,11,4,9
4,9,2,7
2,7,5,14
5,14,8,10
8,10,3,5
3,5,2,6
14,7,6,8
6,8,5,16
5,16,8,10
8,10,5,7
5,7,6,15
6,15,5,14
5,14,4,15
0,7,1,10
1,10,4,16
4,16,3,14
3,14,1,13
1,13,1,6
1,6,5,14
5,14,3,5
14,14,6,8
6,8,3,5
3,5,11,13
11,13,8,13
8,13,11,13
11,13,2,11
2,11,1,13
7,14,9,14
9,14,2,4
2,4,0,11
0,11,4,15
4,15,3,5
3,5,3,10
3,10,7,9
14,7,2,4
2,4,4,13
4,13,7,16
7,16,3,8
3,8,12,17
12,17,3,8
3,8,2,9
14,7,1,10
1,10,14,16
14,16,0,12
0,12,3,5
3,5,1,6
1,6,9,14
9,14,5,14
0,14,4,6
4,6,7,16
7,16,4,13
4,13,3,5
3,5,6,8
6,8,8,17
8,17,5,10
0,14,4,16
4,16,2,4
2,4,3,8
3,8,6,15
6,15,4,9
4,9,3,15
3,15,9,14
7,14,8,13
8,13,6,11
6,11,3,5
3,5,3,5
3,5,4,13
4,13,2,11
2,11,3,5
14,14,15,17
15,17,5,10
5,10,4,15
4,15,2,7
2,7,0,5
0,5,8,17
8,17,6,8
14,7,10,17
10,17,10,12
10,12,15,17
15,17,5,7
5,7,5,16
5,16,5,7
5,7,1,12
14,14,2,7
2,7,1,6
1,6,0,5
0,5,8,17
8,17,5,10
5,10,2,4
2,4,2,13
0,7,3,8
3,8,2,9
2,9,7,9
7,9,2,9
2,9,0,9
0,9,11,13
11,13,2,11
14,14,7,12
7,12,6,8
6,8,9,11
9,11,0,12
0,12,8,17
8,17,5,16
5,16,2,14
14,14,4,6
4,6,3,15
3,15,11,13
11,13,2,7
2,7,1,8
1,8,5,7
5,7,2,13
7,7,4,16
4,16,3,5
3,5,1,6
1,6,1,6
1,6,6,11
6,11,6,15
6,15,2,14
0,7,13,15
13,15,5,7
5,7,7,9
7,9,9,14
9,14,2,4
2,4,0,7
0,7,8,17
14,7,4,16
4,16,7,9
7,9,1,6
1,6,1,6
1,6,5,16
5,16,1,10
1,10,7,9
14,14,9,11
9,11,7,9
7,9,8,10
8,10,11,16
11,16,9,11
9,11,8,10
8,10,7,12
14,14,6,11
6,11,4,6
4,6,3,12
3,12,4,13
4,13,3,15
3,15,0,9
0,9,0,9
14,14,2,7
2,7,4,13
4,13,2,14
2,14,6,8
6,8,4,6
4,6,3,15
3,15,4,6
7,7,4,6
4,6,4,9
4,9,8,13
8,13,2,7
2,7,14,16
14,16,3,5
3,5,3,14
0,7,4,6
4,6,0,9
0,9,0,11
0,11,6,8
6,8,7,12
7,12,8,13
8,13,6,15
7,14,1,13
1,13,11,16
11,16,3,5
3,5,9,14
9,14,5,16
5,16,12,17
12,17,7,9
7,14,0,5
0,5,6,8
6,8,7,16
7,16,4,6
4,6,3,5
3,5,2,11
2,11,3,5
14,7,0,12
0,12,2,11
2,11,3,5
3,5,2,6
2,6,9,14
9,14,0,9
0,9,3,15
14,7,4,6
4,6,3,5
3,5,0,7
0,7,9,11
9,11,6,13
6,13,4,6
4,6,1,13
7,7,6,13
6,13,3,8
3,8,6,11
6,11,0,11
0,11,3,8
3,8,0,12
0,12,2,4
0,7,7,9
7,9,2,4
2,4,7,9
7,9,5,10
5,10,5,7
5,7,9,11
9,11,4,11
0,7,5,10
5,10,2,11
2,11,3,14
3,14,0,9
0,9,2,7
2,7,5,17
5,17,8,17
7,7,4,11
4,11,2,7
2,7,4,6
4,6,4,16
4,16,2,4
2,4,1,8
1,8,0,9
7,14,4,9
4,9,5,14
5,14,4,16
4,16,6,15
6,15,4,6
4,6,4,11
4,11,5,16
7,7,3,8
3,8,6,11
6,11,3,5
3,5,3,12
3,12,2,14
2,14,5,14
5,14,3,8
0,7,3,15
3,15,4,6
4,6,2,4
2,4,7,12
7,12,8,10
8,10,0,5
0,5,11,16
7,7,0,5
0,5,1,6
1,6,3,5
3,5,5,16
5,16,0,11
0,11,4,6
4,6,3,15
14,7,9,16
9,16,15,17
15,17,2,4
2,4,5,10
5,10,5,17
5,17,3,8
3,8,1,12
7,14,1,6
1,6,1,12
1,12,6,8
6,8,3,14
3,14,10,15
10,15,3,5
3,5,9,14
14,7,1,8
1,8,0,5
0,5,6,8
6,8,1,6
1,6,3,8
3,8,2,7
2,7,15,17
0,7,6,15
6,15,3,8
3,8,5,14
5,14,2,7
2,7,2,4
2,4,0,11
0,11,0,9
0,7,11,13
11,13,6,8
6,8,5,17
5,17,4,16
4,16,11,16
11,16,9,14
9,14,7,12
7,14,4,6
4,6,1,6
1,6,1,6
1,6,8,13
8,13,6,8
6,8,6,8
6,8,6,15
14,7,9,13
9,13,7,14
7,14,5,7
5,7,5,10
5,10,0,9
0,9,2,7
2,7,2,11
0,14,4,13
4,13,4,6
4,6,2,6
2,6,4,6
4,6,5,14
5,14,6,8
6,8,2,4
7,14,5,7
5,7,4,15
4,15,5,14
5,14,5,7
5,7,8,13
8,13,10,12
10,12,9,11
0,7,6,8
6,8,6,15
6,15,11,13
11,13,6,8
6,8,13,15
13,15,5,14
5,14,4,9
0,14,2,14
2,14,3,15
3,15,4,16
4,16,3,12
3,12,5,14
5,14,5,17
5,17,3,5
7,14,0,12
0,12,2,14
2,14,0,5
0,5,0,11
0,11,1,10
1,10,0,5
0,5,8,17
14,7,2,4
2,4,2,9
2,9,5,17
5,17,7,16
7,16,0,11
0,11,3,14
3,14,0,5
14,14,0,12
0,12,2,11
2,11,3,15
3,15,3,8
3,8,0,12
0,12,2,4
2,4,1,10
14,14,6,8
6,8,8,17
8,17,0,5
0,5,1,6
1,6,0,9
0,9,4,6
4,6,4,16
14,7,15,17
15,17,10,17
10,17,7,9
7,9,6,8
6,8,3,15
3,15,3,8
3,8,11,16
0,14,7,16
7,16,3,12
3,12,7,16
7,16,10,15
10,15,2,4
2,4,10,12
10,12,11,13
0,14,7,9
7,9,0,9
0,9,3,8
3,8,3,14
3,14,10,15
10,15,6,8
6,8,4,6
0,14,2,14
2,14,2,7
2,7,3,5
3,5,2,4
2,4,5,16
5,16,8,17
8,17,8,17
0,7,5,14
5,14,4,6
4,6,4,11
4,11,9,14
9,14,2,11
2,11,6,8
6,8,7,16
