0,14,0,5,13,17,4,16,0,4,13,17,4,16,0,4,13,17,9,14
7,14,5,7,0,4,0,4,0,4,0,4,0,4,0,4,0,4,9,14
14,14,4,9,0,4,13,17,4,16,0,4,13,17,4,16,0,4,9,14
7,7,3,15,0,4,13,17,4,16,0,4,13,17,4,16,0,4,9,14
14,14,7,9,0,4,13,17,4,16,0,4,13,17,4,16,0,4,9,14
0,14,4,9,8,12,0,4,13,17,4,16,0,4,13,17,4,16,9,14
14,14,8,10,0,4,13,17,4,16,0,4,13,17,4,16,0,4,9,14
0,7,0,9,0,4,13,17,4,16,0,4,13,17,4,16,0,4,9,14
14,14,3,12,0,4,13,17,4,16,0,4,13,17,4,16,0,4,9,14
7,14,5,16,0,4,13,17,4,16,0,4,13,17,4,16,0,4,9,14
14,14,9,16,0,4,13,17,4,16,0,4,13,17,4,16,0,4,9,14
0,14,1,6,13,17,4,16,0,4,13,17,4,16,0,4,13,17,9,14
0,7,0,12,0,4,13,17,4,16,0,4,13,17,4,16,0,4,9,14
14,7,2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,9,14
14,7,4,8,0,4,0,4,0,4,0,4,0,4,0,4,0,4,9,14
0,14,2,7,0,4,0,4,0,4,0,4,0,4,0,4,0,4,9,14
14,7,7,11,0,4,13,17,4,16,0,4,13,17,4,16,0,4,9,14
0,14,3,12,0,4,13,17,4,16,0,4,13,17,4,16,0,4,9,14
0,7,5,7,8,12,0,4,13,17,4,16,0,4,13,17,4,16,9,14
7,14,2,4,13,17,4,16,0,4,13,17,4,16,0,4,13,17,9,14
7,7,4,8,0,4,0,4,0,4,0,4,0,4,0,4,0,4,9,14
0,7,2,13,0,4,13,17,4,16,0,4,13,17,4,16,0,4,9,14
7,14,4,6,0,4,0,4,0,4,0,4,0,4,0,4,0,4,9,14
7,14,8,13,8,12,0,4,13,17,4,16,0,4,13,17,4,16,9,14
7,14,3,8,0,4,0,4,0,4,0,4,0,4,0,4,0,4,9,14
